  11   |   41   |   6.23   |   6.75   |  29.41   |  28.82   |  40.64   |  39.59   |  27.34   |   2.07   |   1.92   |   498.88   
  11   |   42   |   6.43   |   6.74   |  29.13   |  28.83   |  40.41   |  39.61   |  27.08   |   2.05   |   1.93   |   509.52   
  11   |   43   |   6.56   |   6.74   |  28.80   |  28.83   |  40.70   |  39.64   |  26.98   |   1.82   |   1.92   |   520.12   
  11   |   44   |   6.93   |   6.74   |  28.30   |  28.82   |  40.86   |  39.66   |  26.49   |   1.81   |   1.92   |   530.77   
  11   |   45   |   6.65   |   6.74   |  28.76   |  28.82   |  40.49   |  39.68   |  27.05   |   1.71   |   1.92   |   541.38   
  11   |   46   |   6.79   |   6.74   |  28.60   |  28.81   |  40.41   |  39.70   |  26.68   |   1.92   |   1.92   |   552.00   
  11   |   47   |   6.31   |   6.73   |  29.27   |  28.82   |  40.37   |  39.71   |  27.09   |   2.19   |   1.92   |   562.59   
  11   |   48   |   6.81   |   6.73   |  28.53   |  28.82   |  39.83   |  39.71   |  26.74   |   1.79   |   1.92   |   573.24   
  11   |   49   |   6.58   |   6.73   |  28.59   |  28.81   |  39.96   |  39.72   |  26.61   |   1.98   |   1.92   |   583.84   
  11   |   50   |   6.28   |   6.72   |  29.28   |  28.82   |  40.66   |  39.74   |  27.30   |   1.97   |   1.92   |   594.49   
  11   |   51   |   6.27   |   6.71   |  29.27   |  28.83   |  40.87   |  39.76   |  27.35   |   1.92   |   1.92   |   605.12   
  11   |   52   |   6.79   |   6.71   |  28.62   |  28.82   |  40.54   |  39.77   |  26.82   |   1.80   |   1.92   |   615.77   
  11   |   53   |   6.21   |   6.70   |  29.54   |  28.84   |  40.95   |  39.79   |  27.69   |   1.85   |   1.92   |   626.38   
  11   |   54   |   6.71   |   6.70   |  28.45   |  28.83   |  40.29   |  39.80   |  26.51   |   1.94   |   1.92   |   637.02   
  11   |   55   |   6.89   |   6.71   |  28.40   |  28.82   |  40.56   |  39.82   |  26.68   |   1.72   |   1.92   |   647.63   
  11   |   56   |   7.26   |   6.72   |  28.14   |  28.81   |  39.95   |  39.82   |  26.35   |   1.80   |   1.91   |   658.29   
  11   |   57   |   6.25   |   6.71   |  29.36   |  28.82   |  40.83   |  39.84   |  27.46   |   1.89   |   1.91   |   668.88   
  11   |   58   |   6.06   |   6.70   |  29.80   |  28.84   |  40.75   |  39.85   |  27.69   |   2.11   |   1.92   |   679.52   
  11   |   59   |   7.08   |   6.70   |  28.22   |  28.83   |  39.99   |  39.86   |  26.27   |   1.95   |   1.92   |   690.10   
  11   |   60   |   6.97   |   6.71   |  28.40   |  28.82   |  40.42   |  39.86   |  26.46   |   1.94   |   1.92   |   700.77   
  11   |   61   |   7.11   |   6.72   |  28.19   |  28.81   |  39.89   |  39.86   |  26.30   |   1.89   |   1.92   |   711.38   
  11   |   62   |   6.43   |   6.71   |  29.13   |  28.81   |  39.85   |  39.86   |  26.89   |   2.24   |   1.92   |   722.03   
  11   |   63   |   7.04   |   6.72   |  28.34   |  28.81   |  40.29   |  39.87   |  26.59   |   1.74   |   1.92   |   732.64   
  11   |   64   |   6.09   |   6.71   |  29.70   |  28.82   |  40.94   |  39.89   |  27.70   |   2.00   |   1.92   |   743.30   
  11   |   65   |   6.90   |   6.71   |  28.34   |  28.81   |  39.80   |  39.89   |  26.26   |   2.09   |   1.92   |   753.93   
  11   |   66   |   6.12   |   6.70   |  29.58   |  28.83   |  41.23   |  39.91   |  27.57   |   2.01   |   1.92   |   764.57   
  11   |   67   |   6.64   |   6.70   |  28.82   |  28.83   |  40.71   |  39.92   |  27.09   |   1.73   |   1.92   |   775.19   
  11   |   68   |   6.69   |   6.70   |  28.66   |  28.82   |  39.84   |  39.92   |  26.79   |   1.87   |   1.92   |   785.86   
  11   |   69   |   6.81   |   6.70   |  28.68   |  28.82   |  40.67   |  39.93   |  26.92   |   1.77   |   1.92   |   796.45   
  11   |   70   |   6.68   |   6.70   |  28.98   |  28.82   |  40.55   |  39.94   |  27.14   |   1.84   |   1.92   |   807.11   
  11   |   71   |   6.64   |   6.70   |  28.61   |  28.82   |  40.20   |  39.94   |  26.67   |   1.94   |   1.92   |   817.73   
  11   |   72   |   6.59   |   6.70   |  28.90   |  28.82   |  40.51   |  39.95   |  26.86   |   2.03   |   1.92   |   828.39   
  11   |   73   |   6.12   |   6.69   |  29.48   |  28.83   |  40.77   |  39.96   |  27.29   |   2.19   |   1.92   |   838.98   
  11   |   74   |   6.54   |   6.69   |  28.77   |  28.83   |  40.63   |  39.97   |  27.30   |   1.46   |   1.92   |   849.66   
  11   |   75   |   6.35   |   6.68   |  28.97   |  28.83   |  40.91   |  39.98   |  27.24   |   1.73   |   1.91   |   860.24   
  11   |   76   |   6.82   |   6.69   |  28.68   |  28.83   |  40.04   |  39.98   |  26.38   |   2.30   |   1.92   |   870.87   
